Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
12/03 9:00:00,45.6115549,3.586220833,0.002191379892,0,9.179850659,26.9147,136.036339,96.86985227,33.3988,5.767686731
12/03 10:00:00,37.06207123,3.586220833,0,0,9.179850659,19.4245,136.4337424,106.1917372,25.0491,5.192905233
12/03 11:00:00,41.38593551,3.586220833,0.01072814664,0,9.179850659,26.9147,164.8249612,105.0240977,41.7485,18.0523635
12/03 12:00:00,42.15152679,3.586220833,0,0,9.179850659,26.9147,164.4209671,104.6201412,41.7485,18.05232582
12/03 13:00:00,41.42691063,3.586220833,0,0,9.179850659,26.9147,161.9405156,105.6798819,41.7485,14.51213371
12/03 14:00:00,33.90099972,3.586220833,0,0,9.179850659,19.4245,155.8471844,107.936728,33.3988,14.51165639
12/03 15:00:00,33.90146589,3.586220833,0,0,9.179850659,19.4245,148.7347577,112.6907802,25.0491,10.99487758
12/03 16:00:00,36.00504849,3.586220833,0,0,9.179850659,19.4245,163.5427607,119.1464548,33.3988,10.99750591
12/03 17:00:00,45.55129925,3.586220833,0.006081220099,0,9.179850659,26.9147,178.3276814,117.2329354,50.0982,10.99654595
12/03 18:00:00,45.55811046,3.586220833,0.002290311603,0,9.179850659,26.9147,177.0730084,112.4620248,50.0982,14.51278365
12/03 19:00:00,45.5631059,3.586220833,0,0,9.179850659,26.9147,178.4555254,110.305561,50.0982,18.05176435
12/03 20:00:00,38.20630501,3.586220833,0,0,9.179850659,19.4245,161.3111369,109.8612637,33.3988,18.05107318
12/03 21:00:00,38.18822537,3.586220833,0,0,9.179850659,19.4245,155.6671823,107.7570671,33.3988,14.51131524
12/03 22:00:00,38.11891329,3.586220833,0,0,9.179850659,19.4245,159.8055535,116.7064631,25.0491,18.04999039
12/03 23:00:00,38.01027095,3.586220833,0,0,9.179850659,19.4245,148.6238402,117.9938972,16.6994,13.93054293
12/04 1095120:00:00,38.82102474,3.586220833,0,0,9.179850659,19.4245,130.9407314,115.0860994,8.3497,7.504932007
12/04 1:00:00,22.06205334,3.586220833,0,0,4.58992533,8.1892,134.3133978,123.4682711,3.33988,7.505246651
12/04 2:00:00,14.62952045,0,0,0,1.52997511,7.4902,3.931926943,0,3.33988,0.5920469432
12/04 3:00:00,14.6512803,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
12/04 4:00:00,14.66641554,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
12/04 5:00:00,14.81910886,0,0,0,1.52997511,7.4902,3.931932887,0,3.33988,0.5920528866
12/04 6:00:00,22.17723663,3.586220833,0.005904056508,0,4.58992533,8.1892,128.9767479,120.6070479,8.3497,0.02
12/04 7:00:00,38.13315051,3.586220833,0.007230549433,0,9.179850659,19.4245,142.3909422,119.9241212,16.6994,5.767421058
12/04 8:00:00,45.60650458,3.586220833,0.01173632033,0,9.179850659,26.9147,156.5115765,109.8503385,25.0491,21.61213804
12/04 9:00:00,45.61312305,3.586220833,0.00207315032,0,9.179850659,26.9147,167.9889652,114.7619282,33.3988,19.82823702
12/04 10:00:00,38.12292404,3.586220833,0,0,9.179850659,19.4245,153.0106075,111.6828693,25.0491,16.27863821
12/04 11:00:00,41.38384912,3.586220833,0.005422673858,0,9.179850659,26.9147,163.4482702,107.1878646,41.7485,14.51190553
12/04 12:00:00,42.15348029,3.586220833,0,0,9.179850659,26.9147,161.8694715,103.8438902,41.7485,16.2770813
12/04 13:00:00,41.43170783,3.586220833,0,0,9.179850659,26.9147,151.5909717,95.33080591,41.7485,14.51166578
12/04 14:00:00,33.91048054,3.586220833,0,0,9.179850659,19.4245,140.7896811,94.6423259,33.3988,12.74855521
12/04 15:00:00,33.90852974,3.586220833,0,0,9.179850659,19.4245,134.5737545,98.5273153,25.0491,10.99733922
12/04 16:00:00,36.01141482,3.586220833,0,0,9.179850659,19.4245,148.0945453,103.6991983,33.3988,10.99654698
12/04 17:00:00,45.55910542,3.586220833,0.007797158718,0,9.179850659,26.9147,163.3473928,102.2529044,50.0982,10.99628836
12/04 18:00:00,45.5662065,3.586220833,0.002369650578,0,9.179850659,26.9147,161.433907,96.82233281,50.0982,14.51337414
12/04 19:00:00,45.57495038,3.586220833,0.002663004099,0,9.179850659,26.9147,161.4578623,91.52936014,50.0982,19.83030211
12/04 20:00:00,38.21668896,3.586220833,0,0,9.179850659,19.4245,150.1057131,95.0883753,33.3988,21.61853779
12/04 21:00:00,38.19749755,3.586220833,0,0,9.179850659,19.4245,147.4129506,95.96158952,33.3988,18.05256111
12/04 22:00:00,38.12571777,3.586220833,0,0,9.179850659,19.4245,147.2060962,102.3263489,25.0491,19.8306473
12/04 23:00:00,38.01460339,3.586220833,0,0,9.179850659,19.4245,138.7424993,105.7677009,16.6994,16.27539843
12/05 1095144:00:00,38.82358965,3.586220833,0,0,9.179850659,19.4245,128.1310154,110.5359498,8.3497,9.24536562
