Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 11/04  06:00:00,66.3091725264,4.84802296805,0.0150201220668,9.75745135001,18.5082010057,25.6353820695,63.075844581,52.7558085592,0.0,10.3200360217
 11/04  07:00:00,78.8717663457,4.76499493281,0.0391586582566,6.04268133254,19.4083231844,41.0650158608,65.3704729317,47.8910008647,0.0,17.479472067
 11/04  08:00:00,99.3260412557,4.71326631966,0.405732400573,2.30461910341,26.3286599382,57.9988325916,85.677548391,37.876595215,0.0,47.800953176
 11/04  09:00:00,84.0385537149,4.73117181607,1.97331342325,4.35453021149,26.3286599382,42.8504436482,91.1251153058,37.5160070652,18.025,35.5841082406
 11/04  10:00:00,59.8455419247,4.80049534644,2.10486678993,7.72321571209,21.7447113004,23.4437158914,92.1156422963,38.6570218189,18.025,35.4336204775
 11/04  11:00:00,57.999884413,4.8164838253,2.12644902955,8.302093624,19.3027497915,23.426170988,86.0755026861,38.6080445786,18.025,29.4424581074
 11/04  12:00:00,57.9719619216,4.81566158934,1.96254909926,8.2970844944,19.1483137236,23.7250123474,85.5112934977,38.1291373363,18.025,29.3571561613
 11/04  13:00:00,58.1441929476,4.81641283574,1.9539880514,8.33158430011,19.3027497915,23.7161209604,77.9002169946,36.395050027,18.025,23.4801669676
 11/04  14:00:00,58.2812751035,4.82249676072,1.94649013823,8.47007599549,19.3027497915,23.7161209604,84.6815333431,37.3015383055,18.025,29.3549950376
 11/04  15:00:00,57.990238591,4.82266223781,1.95485603916,8.46046251085,19.3027497915,23.426170988,80.3402564058,38.8320541746,18.025,23.4832022312
 11/04  16:00:00,61.5485892494,4.81939179387,1.13610222274,8.38949609583,19.3027497915,27.8956505705,62.4487333868,38.6504457641,18.025,5.77328762273
 11/04  17:00:00,69.3229138942,4.7858002794,0.0666268361498,6.76022987011,18.2229234133,37.5968344597,51.5511952465,40.0082007074,0.0,11.5429945391
 11/04  18:00:00,86.1121999404,4.73015900016,0.0950740806353,3.97124354227,32.690315043,37.0816133363,48.8676114209,43.0776535326,0.0,5.78995788829
