Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 06/01  09:00:00,34.9902246402,4.40244694023,0.0,0.0,9.17985065927,19.4245,35.4850414802,0.021589971068,25.0491,10.4143515092
 06/01  10:00:00,42.9667412761,4.40244694023,0.476183362782,0.0,9.17985065927,26.9147,50.9983231418,0.0,41.7485,9.24982314182
 06/01  11:00:00,44.608437358,4.40244694023,1.401935589,0.0,9.17985065927,26.9147,52.1637832298,0.0,41.7485,10.4152832298
 06/01  12:00:00,45.9015884545,4.40244694023,3.33941368063,0.0,9.17985065927,26.9147,50.9984666537,0.0,41.7485,9.2499666537
 06/01  13:00:00,38.2849156035,4.40244694023,3.24089942556,0.0,9.17985065927,19.4245,41.4856120574,0.0,33.3988,8.08681205741
 06/01  14:00:00,37.4921074163,4.40244694023,2.43768443067,0.0,9.17985065927,19.4245,32.5509588529,0.0,25.0491,7.50185885293
 06/01  15:00:00,37.2905843432,4.40244694023,2.22832988745,0.0,9.17985065927,19.4245,40.3251177955,0.0,33.3988,6.92631779553
 06/01  16:00:00,46.6241786273,4.40244694023,4.1196966164,0.0,9.17985065927,26.9147,57.025523599,0.0,50.0982,6.92732359898
 06/01  17:00:00,48.3654688133,4.40244694023,5.88130634142,0.0,9.17985065927,26.9147,59.3484102105,0.0,50.0982,9.25021021052
 06/01  18:00:00,49.4651970096,4.40244694023,6.98832539526,0.0,9.17985065927,26.9147,62.8489026553,0.0,50.0982,12.7507026553
 06/01  19:00:00,40.2885142695,4.40244694023,5.14197989712,0.0,9.17985065927,19.4245,47.3227540572,0.0,33.3988,13.9239540572
 06/01  20:00:00,40.066761321,4.40244694023,3.88554220369,0.0,9.17985065927,19.4245,44.9796476467,0.0,33.3988,11.5808476467
 06/01  21:00:00,40.4969649081,4.40244694023,1.23711492161,0.0,9.17985065927,19.4245,37.8009926841,0.0,25.0491,12.7518926841
 06/01  22:00:00,39.5184262004,4.40244694023,0.386700441761,0.0,9.17985065927,19.4245,27.1128226891,0.0,16.6994,10.4134226891
 06/01  23:00:00,39.8891435319,4.40244694023,0.0,0.0,9.17985065927,19.4245,14.1972593355,0.0782546848877,8.3497,5.76930465064
 06/01  24:00:00,23.1695255791,4.40244694023,0.0,0.0,4.58992532963,8.1892,8.2343573928,0.279021727851,3.33988,4.61545566495
 06/02  01:00:00,14.9412704922,0.0,0.0,0.0,1.52997510988,7.4902,3.93197487327,0.0,3.33988,0.592094873273
 06/02  02:00:00,14.9719390188,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 06/02  03:00:00,14.9890657892,0.0,0.0,0.0,1.52997510988,7.4902,3.93192904841,0.0,3.33988,0.592049048407
 06/02  04:00:00,15.7554053052,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 06/02  05:00:00,23.9016810745,4.40244694023,0.00215652816465,0.0,4.58992532963,8.1892,10.12715241,1.18539742337,8.3497,0.592054986656
